nohup: ignoring input
wandb: [wandb.login()] Using explicit session credentials for https://api.wandb.ai.
wandb: Appending key for api.wandb.ai to your netrc file: /home/santiago/.netrc
wandb: Currently logged in as: santiago-florido (TAU-Frugal) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.28.0
wandb: Run data is saved locally in results/wandb/run-20260713_121559-1cgjxj5o
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run mnist_fgd_grow_3x10_th050
wandb: ⭐️ View project at https://wandb.ai/TAU-Frugal/stable-tiny
wandb: 🚀 View run at https://wandb.ai/TAU-Frugal/stable-tiny/runs/1cgjxj5o
Using device: cuda
Training method: fgd_approx
W&B logging enabled: project=stable-tiny, run=mnist_fgd_grow_3x10_th050
Original model:
LinearGrowingModule(LinearGrowingModule(Layer 0))(in_features=784, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 1))(in_features=10, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 2))(in_features=10, out_features=10, use_bias=True)
LinearGrowingModule(LinearGrowingModule(Layer 3))(in_features=10, out_features=10, use_bias=True)
[INIT] Epoch 0, train_loss=0.2919, validation_loss=0.2897, test_loss=0.2889, train_acc=0.093, validation_acc=0.105, test_acc=0.103
[FGD] Epoch 1, train_loss=0.0426, validation_loss=0.0433, test_loss=0.0435 (-0.2453), train_acc=0.831, validation_acc=0.826, test_acc=0.821, lr=0.01, rel_err=0.006, selected_layer=0
[FGD] Epoch 2, train_loss=0.0375, validation_loss=0.0388, test_loss=0.0391 (-0.0045), train_acc=0.852, validation_acc=0.843, test_acc=0.835, lr=0.01, rel_err=0.011, selected_layer=0
[FGD] Epoch 3, train_loss=0.0346, validation_loss=0.0363, test_loss=0.0364 (-0.0027), train_acc=0.861, validation_acc=0.847, test_acc=0.850, lr=0.01, rel_err=0.019, selected_layer=0
[FGD] Epoch 4, train_loss=0.0320, validation_loss=0.0338, test_loss=0.0341 (-0.0024), train_acc=0.871, validation_acc=0.856, test_acc=0.862, lr=0.009968, rel_err=0.026, selected_layer=0
[FGD-WARN] Epoch 4: learning-rate clipped on 1 batch(es)
[FGD] Epoch 5, train_loss=0.0310, validation_loss=0.0327, test_loss=0.0329 (-0.0011), train_acc=0.873, validation_acc=0.864, test_acc=0.861, lr=0.005, rel_err=0.029, selected_layer=0
[FGD] Epoch 6, train_loss=0.0299, validation_loss=0.0316, test_loss=0.0319 (-0.0010), train_acc=0.872, validation_acc=0.868, test_acc=0.861, lr=0.004857, rel_err=0.031, selected_layer=0
[FGD-WARN] Epoch 6: learning-rate clipped on 1 batch(es)
[FGD] Epoch 7, train_loss=0.0296, validation_loss=0.0313, test_loss=0.0317 (-0.0003), train_acc=0.872, validation_acc=0.865, test_acc=0.863, lr=0.00125, rel_err=0.031, selected_layer=0
[FGD] Epoch 8, train_loss=0.0293, validation_loss=0.0310, test_loss=0.0313 (-0.0003), train_acc=0.872, validation_acc=0.866, test_acc=0.864, lr=0.00125, rel_err=0.032, selected_layer=0
[FGD] Epoch 9, train_loss=0.0290, validation_loss=0.0307, test_loss=0.0310 (-0.0003), train_acc=0.873, validation_acc=0.868, test_acc=0.866, lr=0.00125, rel_err=0.033, selected_layer=0
[FGD] Epoch 10, train_loss=0.0287, validation_loss=0.0305, test_loss=0.0308 (-0.0003), train_acc=0.873, validation_acc=0.868, test_acc=0.868, lr=0.00125, rel_err=0.033, selected_layer=0
[FGD] Epoch 11, train_loss=0.0285, validation_loss=0.0302, test_loss=0.0305 (-0.0003), train_acc=0.874, validation_acc=0.868, test_acc=0.868, lr=0.00125, rel_err=0.034, selected_layer=0
